読み方	日本語	英語
ようする	要する	require, need
せいようじん	西洋人	Westerner
せいよう	西洋	the West, the Occident
せいれき	西暦	Christian Era, A.D.
にし	西	west, western
おそう	襲う	raid, attack
えり	襟	collar, lapel
ほめる	褒める	praise, commend
ふくざつ	複雑	complicated, intricate
ふくすう	複数	plural
せいぞう	製造	production, manufacture
せいひん	製品	manufactured goods
せいさく	製作	manufacture, production
はだか	裸	naked body, bareness
おぎなう	補う	supplement, replenish
うらもん	裏門	back gate
うらがえす	裏返す	turn over, turn inside out
うらがえし	裏返し	turn over, turn inside out
うらおもて	裏表	inside-out, front and back
うらぐち	裏口	back door, kitchen door
うらぎる	裏切る	betray
うら	裏	rear, reverse, inside
そうち	装置	equipment, device
さける	裂ける	split, tear
さいばんしょ	裁判所	courthouse
さいばん	裁判	trial, judgment
ひがい	被害	damage, harm
かぶる	被る	wear, put on
かぶせる	被せる	cover
そで	袖	sleeve
ふくろ	袋	bag, sack
おとろえる	衰える	weaken, decline
ひょうめん	表面	surface, appearance
ひょうし	表紙	cover, binding
ひょうげん	表現	expression
ひょうじょう	表情	expression, look
あらわす	表す	express, represent
おもて	表	front side, face, outside
ひょう	表	table, list
いしょくじゅう	衣食住	clothing and food and housing
いるい	衣類	clothes, garments
いふく	衣服	clothes, dress
いりょう	衣料	clothing, garments
しょうとつ	衝突	collision, conflict
えいせいてき	衛生的	sanitary, hygienic
えいせい	衛生	hygiene, sanitation
えいせい	衛星	satellite, moon
こうしん	行進	march, parade
こうてい	行程	distance, journey
こうい	行為	act, conduct
こうらく	行楽	excursion, outing
ゆくえ	行方	one's whereabouts
ぎょうせい	行政	administration
こうどう	行動	action, conduct
ぎょうれつ	行列	queue, line
ぎょうぎ	行儀	manners, behavior
ぎょうじ	行事	event, function
いく	行く	go
いきどまり	行き止まり	dead end
いきき	行き来	comings and goings, communication
いき	行き	going
ゆき	行き	going
おこなう	行う	do, carry out
ぎょう	行	line, row
しゅうぎいん	衆議院	House of Representatives, Lower House
けっかん	血管	blood vessel
けつえき	血液	blood
ち	血	blood
ちょうちょう	蝶蝶	butterfly
はち	蜂	bee
けいこうとう	蛍光灯	fluorescent lamp
たんぱくしつ	蛋白質	protein
へび	蛇	snake, serpent
か	蚊	mosquito
にじ	虹	rainbow
むしば	虫歯	decayed tooth, cavity
むし	虫	insect, worm
くすりゆび	薬指	third finger, ring finger
やっきょく	薬局	drugstore, pharmacy
やくひん	薬品	medicine, drug
くすり	薬	drug, remedy, chemical
うすぎ	薄着	light clothing
うすぐらい	薄暗い	gloomy, dim
うすめる	薄める	thin, dilute
うすい	薄い	thin, weak, pale
むしあつい	蒸し暑い	humid
そうしき	葬式	funeral ceremony
ちょしゃ	著者	author, writer
ちょしょ	著書	literary work, book
あらわす	著す	write, compose
いちじるしい	著しい	remarkable, conspicuous
はがき	葉書	postcard
はっぱ	葉っぱ	leaf
は	葉	leaf, needle
らくだい	落第	failing an exam
おとす	落とす	drop, omit
おとしもの	落とし物	lost property
おちば	落ち葉	fallen leaves
おちつく	落ち着く	calm down, settle in
おちつき	落ち着き	presence of mind, composure
おちる	落ちる	fall, sink
はなやか	華やか	gorgeous, colorful
きく	菊	chrysanthemum
にもつ	荷物	baggage, load
あれる	荒れる	be wild, run waste
あらす	荒す	damage, ransack
あらい	荒い	wild, reckless
あらい	荒い	harsh, rough
くさばな	草花	plants and flowers
くさき	草木	plants and trees
くさ	草	grass, weed
ちゃいろ	茶色	light brown
ちゃわん	茶わん	tea cup, rice bowl
ちゃ	茶	tea (plain form)
くき	茎	stem
なす	茄子	eggplant
いちご	苺	strawberry
えいゆう	英雄	hero
えいご	英語	English
えいぶん	英文	English, English writing
えいわ	英和	English-Japanese
くつう	苦痛	pain, agony
にがて	苦手	person that is hard to deal with, weak point
くじょう	苦情	complaint, grievance
くしん	苦心	pains, efforts
くろう	苦労	difficulty, hardship
くるしめる	苦しめる	torment, trouble
くるしむ	苦しむ	suffer, be troubled
くるしみ	苦しみ	distress, suffering
くるしい	苦しい	painful, difficult
にがい	苦い	bitter, sour
わかもの	若者	young person, youth
わかい	若い	young
わかわかしい	若々しい	youthful, young-looking
いじめる	苛める	ill-treat, abuse
いじめ	苛め	bullying
め	芽	bud, sprout
げいじゅつ	芸術	art, arts and crafts
はなみ	花見	flower viewing
かびん	花瓶	flower vase
はなび	花火	fireworks, firecrackers
はなたば	花束	bunch of flowers
はなよめ	花嫁	bride
はなむこ	花婿	bridegroom
はな	花	flower
しばふ	芝生	lawn, turf
いも	芋	potato, yam
いろいろ	色々	in various ways
いろ	色	color
りょうしん	良心	conscience
よい	良い	good, suitable, preferable
いい	良い	good
せんちょう	船長	captain
ふなびん	船便	surface mail, shipping service
ふね	船	ship, boat, vessel
こうくうき	航空機	aircraft, airplane
こうくうけん	航空券	airline ticket
こうくうびん	航空便	airmail
こうくう	航空	aviation
ぶたい	舞台	stage, setting
した	舌	tongue
こうふん	興奮	excitement, agitation
きょうみ	興味	interest
いたす	致す	humbly do
しきゅう	至急	urgent, pressing
いたるところ	至る所	everywhere, all over
いたる	至る	come to, reach
におう	臭う	stink (unpleasant)
くさい	臭い	ill-smelling, stinking
におい	臭い	smell, odor
じてんしゃ	自転車	bicycle
じしん	自身	self
じえいたい	自衛隊	Self Defense Forces
じしゅう	自習	self-study, self-teaching
じゆう	自由	freedom
しぜんかがく	自然科学	natural science
しぜんに	自然に	naturally, instinctively
しぜん	自然	nature
しぜん	自然	natural, naturally
じすい	自炊	cooking food for oneself
じさつ	自殺	suicide
じまん	自慢	showing off
じこ	自己	oneself, self
じたく	自宅	one's house, one's home
じこく	自国	one's own country
じどうしゃ	自動車	automobile
じどう	自動	automatic operation
じぶん	自分	self, oneself
じしん	自信	self-confidence
じしゅてき	自主的	autonomous, voluntary
じしゅ	自主	independence, autonomy
みずから	自ら	oneself
りんじ	臨時	temporary, provisional
のぞむ	臨む	be present at
おくびょう	臆病	cowardice, timidity
ふくれる	膨れる	expand, fill up
ふくらむ	膨らむ	expand, swell
はらいっぱい	腹一杯	full stomach
はら	腹	belly
ちょう	腸	intestines, entrails
こしかける	腰掛ける	sit down
こしかけ	腰掛け	stool, seat
こし	腰	hip, lower back
うでどけい	腕時計	wrist watch
うで	腕	arm
くさる	腐る	rot, corrode
のう	脳	brain
だっせん	脱線	derailment
ぬぐ	脱ぐ	remove clothes, take off
おどかす	脅かす	threaten, intimidate
しぼう	脂肪	fat, grease
あぶら	脂	fat, grease
のうりつ	能率	efficiency
のうりょく	能力	ability, capacity
のう	能	noh play
のう	能	ability, capability
むね	胸	chest
はいけい	背景	background, scenery, setting
せびろ	背広	business suit
せなか	背中	back
せ	背	height, stature
いちょう	胃腸	stomach and intestines
い	胃	stomach
はい	肺	lung, lungs
いくじ	育児	childcare, child-raising
そだてる	育てる	bring up, breed
そだつ	育つ	be brought up, grow
こうてい	肯定	affirmation
かた	肩	shoulder
また	股	crotch, groin
かんじん	肝心	vital, essential
はだいろ	肌色	flesh color
はだぎ	肌着	underwear
はだ	肌	skin, surface
にくたい	肉体	body, flesh
にく	肉	flesh, meat
しょくぎょう	職業	occupation, vocation
しょくば	職場	place of work, office
しょくいん	職員	staff, employee
きこえる	聞こえる	hear, be heard
きく	聞く	hear, ask
ききて	聞き手	listener, audience
ききとり	聞き取り	listening comprehension, dictation
きかす	聞かす	tell, read aloud
じびか	耳鼻科	otorhinology, ENT
みみ	耳	ear, hearing
たえる	耐える	withstand, endure
もの	者	person, fellow
こうりょ	考慮	consideration, deliberation
かんがえる	考える	think, consider
かんがえ	考え	thought, view, idea
ろうじん	老人	old person, elderly
ほんやく	翻訳	translation
しゅうかん	習慣	custom, habit
ならう	習う	learn, practice
よくあさ	翌朝	the following morning
よくじつ	翌日	the following day
よくねん	翌年	the following year
はね	羽根	feather
ぎり	義理	sense of duty, justice
ぎむ	義務	duty, obligation
うらやましい	羨ましい	envious, envy
ぐんしゅう	群集	crowd
ぐんしゅう	群衆	the masses, multitude
むれ	群れ	crowd, herd
びじゅつかん	美術館	art museum
びじゅつ	美術	art, fine arts
びよういん	美容院	beauty shop
びじん	美人	beautiful woman
うつくしい	美しい	beautiful
ばっきん	罰金	fine, penalty
ばっする	罰する	punish
ばつ	罰	punishment, penalty
おく	置く	put, leave
つみ	罪	crime, sin
かんづめ	缶詰	canned goods, cooping-up
かん	缶	can, tin
くりかえす	繰り返す	repeat
おりもの	織物	cloth, textile
はんえい	繁栄	prosperity, thriving
しゅくしょう	縮小	reduction, curtailment
ちぢめる	縮める	contract, shorten
ちぢむ	縮む	shrink, contract
ちぢみ	縮み	shrinkage
ちぢまる	縮まる	be shortened, be contracted
ぬう	縫う	sew, stitch
たてがき	縦書き	vertical writing
たて	縦	lengthways, vertical
しばる	縛る	bind, restrict
なわ	縄	rope, cord
れんしゅう	練習	practice, training
ゆるやか	緩やか	slack, loose
ゆるめる	緩める	loosen, unloose
ゆるむ	緩む	slacken, be loose
ゆるい	緩い	slack, loose
へんしゅう	編集	editing, compilation
あむ	編む	knit
しめきる	締め切る	close, fix a deadline
しめきり	締め切り	deadline, time limit
しめる	締める	tighten, fasten
しまる	締まる	tighten, be compact
せんろ	線路	line, track
せん	線	line
みどりいろ	緑色	green
みどり	緑	green, foliage
そうさい	総裁	president, governor
そうりだいじん	総理大臣	prime minister
そうり	総理	president, prime minister
そうすう	総数	total
そうごう	総合	synthesis, integration
そうかい	総会	general meeting
きんきゅう	緊急	urgent, pressing
